question,option1,option2,option3,option4,correct,difficulty
What is the area of Vatican City?,0.10km^2,0.44km^2,0.86km^2,12.00km^2,0.44km^2,hard
"Who is the creator of the soft drink, Dr. Pepper?",Boris Heviltik,Charles Alderton,James Wellington,Johnson Hinsin,Charles Alderton,hard
What North American tourist attraction is served by the Maid of the Mist tour company?,Disney World,Niagara Falls,"Whistler, British Columbia",Yosemite National Park,Niagara Falls,hard
Which of these animals is NOT a lizard?,Gila Monster,Green Iguana,Komodo Dragon,Tuatara,Tuatara,hard
How many paint and pastel versions of The Scream is Norwegian painter Edvard Munch believed to have produced?,1,2,3,4,4,hard
"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,Papal State,Popular Front,Republican Spain,Nationalist Spain,hard
How many sonatas did Ludwig van Beethoven write?,21,31,32,50,32,hard
The Swedish word Grunka means what in English?,People,Pineapple,Place,Thing,Thing,hard
"If you planted the seeds of Quercus robur, what would grow?",Flowers,Grains,Trees,Vegetables,Trees,hard
Which of the following is not a type of computer mouse?,Drum mouse,Optical mouse,Smoothie mouse,Trackball mouse,Smoothie mouse,easy
"In any programming language, what is the most common way to iterate through an array?",Do-while loops,For loops,If Statements,While loops,For loops,easy
"When one is envious, they are said to be what color?",Blue,Green,Red,Yellow,Green,easy
What is the official language of Costa Rica?,Creole,English,Portuguese,Spanish,Spanish,easy
What is the capital of Scotland?,Dundee,Edinburgh,Glasgow,London,Edinburgh,easy
"In 1453, which important city fell?",Athens,Constantinople,Hamburg,Rome,Constantinople,easy
In DC comics where does the Green Arrow (Oliver Queen) live?,Central City,Gotham City,Metropolis,Star City,Star City,easy
What country has a horizontal bicolor red and white flag?,Bahrain,Liechenstein,Malta,Monaco,Monaco,easy
How many stars are featured on New Zealands flag?,0,2,4,5,4,easy
Which US state has the highest population?,California,Florida,New York,Texas,California,easy
The C programming language was created by this American computer scientist. ,Dennis Ritchie,Tim Berners Lee,Willis Ware,al-Khwārizmī,Dennis Ritchie,easy
Who was the first president of the United States?,George Washington,James K. Polk,James Madison,Thomas Jefferson,George Washington,easy
The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,"Poland, Iceland, Italy, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Portugal, Ireland, Italy, Greece, Spain","Portugal, Ireland, Italy, Greece, Spain",easy
Which of the following sports is not part of the triathlon?,Cycling,Horse-Riding,Running,Swimming,Horse-Riding,easy
What is the romanized Russian word for winter?,Leto,Osen,Vesna,Zima,Zima,medium
What is the oldest team in the NFL?,Arizona Cardinals,Chicago Bears,Green Bay Packers,New York Giants,Arizona Cardinals,medium
"What was the name of one of the surviving palaces of Henry VIII located near Richmond, London?",Buckingham Palace,Coughton Court,Hampton Court,St Jamess Palace,Hampton Court,medium
How many cores does the Intel i7-6950X have?,10,12,4,8,10,medium
What is the nickname of Northampton towns rugby union club?,Harlequins,Saints,Saracens,Wasps,Saints,medium
Who is the founder of The Lego Group?, Gerhardt Kirk Christiansen, Jens Niels Christiansen,Kirstine Christiansen,Ole Kirk Christiansen,Ole Kirk Christiansen,medium
How many sovereign states are members of the United Nations?,153,178,195,201,195,medium
The following Spanish provinces are located in the northern area of Spain except:,Asturias,Le&oacute;n,Murcia,Navarre,Murcia,medium
Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,One Detroit Center,Taipei 101,Westendstrasse 1,Niagara Mohawk Building,medium
Which of these countries is not a United Nations member state?,Montenegro,Niue,South Sudan,Tuvalu,Niue,medium
A doctor with a PhD is a doctor of what?,Philosophy,Phrenology,Physical Therapy,Psychology,Philosophy,medium
Which German city is located on the River Isar?,Berlin,Dortmund,Hamburg,Munich,Munich,medium
"After his loss at the Battle of Waterloo, Napoleon Bonaparte was exiled to which island?",Canary,Corsica,Elba,St. Helena,St. Helena,medium
How many timezones does Russia have?,11,16,24,6,11,medium
What type of animal is a natterjack?,Bird,Fish,Insect,Toad,Toad,medium
"In relation to the British Occupation in Ireland, what does the IRA stand for.",Irish Rebel Alliance,Irish Reformation Army,Irish Republican Army,Irish-Royal Alliance,Irish Republican Army,medium
Which soccer team won the Copa Am&eacute;rica 2015 Championship ?,Argentina,Brazil,Chile,Paraguay,Chile,medium
"In the programming language Python, which of these statements would display the string Hello World correctly?",console.log(Hello World),echo Hello World,print(Hello World),printf(Hello World),print(Hello World),medium
"What is the most significant side venture the popular firearms company, Remington, has pursued?",Blenders,Ceiling Fans,Door Knobs,Typewriters,Typewriters,medium
A minotaur is half human half what?,Bull,Cow,Eagle,Horse,Bull,medium
What is the full name of the footballer Cristiano Ronaldo?,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Ronaldo dos Santos Aveiro,hard
Albrecht D&uuml;rers birthplace and place of death were in...,Augsburg,Bamberg,Berlin,N&uuml;rnberg,N&uuml;rnberg,hard
Dutch computer scientist Mark Overmars is known for creating which game development engine?,Construct,Game Maker,Stencyl,Torque 2D,Game Maker,hard
Pianist Fr&eacute;d&eacute;ric Chopin was a composer of which musical era?,Baroque,Classic,Renaissance,Romantic,Romantic,hard
"According to Fair Works Australia, how long do you have to work to get Long Service Leave?",2 years,6 months,7 years,8 years,7 years,hard
Which of these banks are NOT authorized to issue currency notes in Hong Kong?,Bank of China,HSBC,OCBC,Standard Chartered,OCBC,hard
Who is the founder of Palantir?,Jack Dorsey,Marc Benioff,Mark Zuckerberg,Peter Thiel,Peter Thiel,hard
"In addition to his career as an astrologer and prophet, Nostradamus published a 1555 treatise that included a section on what?",Cheating at card games,Digging graves,Making jams and jellies,Teaching parrots to talk,Making jams and jellies,hard
In 2012 the German-speaking microstate Liechtenstein in Central Europe had a population of how many inhabitants?,"2,400","323,400","36,600","90,000","36,600",hard
Who is the Egyptian god of reproduction and lettuce?,Menu,Meret,Min,Mut,Min,hard
What is the capital of Mauritius?,Port Louis,Port Moresby,Port Vila,Port-au-Prince,Port Louis,hard
The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,Fiji,Marshall Islands,Micronesia,Tuvalu,Micronesia,hard
"To which biological phylum do all mammals, birds and reptiles belong?",Annelida,Chordata,Echinodermata,Placazoa,Chordata,hard
Which of these theoretical phycisists first predicted the existence of antimatter?,Albert Einstein,Niels Bohr,Paul Dirac,Werner Heisenberg,Paul Dirac,hard
"From 1940 to 1942, what was the capital-in-exile of Free France ?",Algiers,Brazzaville,Paris,Tunis,Brazzaville,hard
Spain was formed in 1469 with the marriage of Isabella I of Castile and Ferdinand II of what other Iberian kingdom?,Aragon,Galicia,Le&oacute;n,Navarre,Aragon,hard
Which musician has collaborated with American producer Porter Robinson and released the 2016 song Shelter?,Madeon,Mat Zo,Zedd,deadmau5,Madeon,hard
Who assassinated President James A. Garfield?,Charles Guiteau,John Wilkes Booth,Leon Czolgosz,Sirhan Sirhan,Charles Guiteau,hard
"During World War I, which nations monarchs were blood related?","England, Germany, Russia","France, Russia, Germany","Germany, Spain, Austria","Serbia, Russia, Croatia","England, Germany, Russia",hard
What port does HTTP run on?,23,443,53,80,80,hard
"According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?",13%,20%,28%,7%,28%,hard
Nidhogg is a mythical creature from what mythology?,Egyptian,Greek,Hindu,Norse,Norse,hard
What mythology did the god Apollo come from?,Greek and Chinese,Greek and Roman,"Greek, Roman and Norse",Roman and Spanish,Greek and Roman,easy
How many furlongs are there in a mile?,Eight,Four,Six,Two,Eight,easy
"In 1453, which important city fell?",Athens,Constantinople,Hamburg,Rome,Constantinople,easy
Who is the youngest person to recieve a Nobel Prize?,Lawrence Bragg,Malala Yousafzai,Werner Heisenberg,Yasser Arafat,Malala Yousafzai,easy
"Which Greek &amp; Roman god was known as the god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more?",Aphrodite,Apollo,Artemis,Athena,Apollo,easy
Which programming language shares its name with an island in Indonesia?,C,Jakarta,Java,Python,Java,easy
Which two teams played in Super Bowl XLII?,The Green Bay Packers &amp; The Pittsburgh Steelers,The New York Giants &amp; The New England Patriots,The Philadelphia Eagles &amp; The New England Patriots,The Seattle Seahawks &amp; The Denver Broncos,The New York Giants &amp; The New England Patriots,easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,easy
How many time zones does China have?,1,2,3,4,1,easy
How many federal states does Germany have?,13,16,25,32,16,easy
Which of the following African countries was most successful in resisting colonization?,C&ocirc;te d&rsquo;Ivoire,Congo,Ethiopia,Namibia,Ethiopia,easy
The collapse of the Soviet Union took place in which year?,1891,1990,1991,1992,1991,easy
Which of the following European languages is classified as a language isolate?,Basque,Galician,Hungarian,Maltese,Basque,easy
Which Nation DID NOT have a Colony in Modern-day America?,Netherlands,Portugal,Spain,Sweden,Portugal,medium
Where did the pineapple plant originate?,Asia,Europe,Hawaii,South America,South America,medium
Which coding language was the #1 programming language in terms of usage on GitHub in 2015?,C#,JavaScript,PHP,Python,JavaScript,medium
Which of these countries national teams qualified for the 2018 FIFA World Cup in Russia?,Italy,Netherlands,Tunisia,United States of America,Tunisia,medium
"The Maori hold that which island nation was founded by Kupe, who discovered it under a long white cloud?",Fiji,Hawaii,New Zealand,Vanuatu,New Zealand,medium
In which English county is Stonehenge?,Cumbria,Herefordshire,Somerset,Wiltshire,Wiltshire,medium
Which Louis was known as The Sun King of France?,Louis XIII,Louis XIV,Louis XV,Louis XVI,Louis XIV,medium
In which years did the Battle of Gallipoli take place?,1914 - 1915,1914 - 1918,1915 - 1916,1915 - 1918,1915 - 1916,medium
What is the smallest country in South America by area?,Brazil,Chile,Suriname,Uruguay,Suriname,medium
Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?,Brazil,India,Madagascar,Mozambique,Brazil,medium
"In 1845, a series of wars named after which indigenous people began in New Zealand?",Aborigines,Māori,Papuans,Polynesians,Māori,medium
What year was Apple Inc. founded?,1974,1976,1978,1980,1976,medium
What is the main CPU is the Sega Mega Drive / Sega Genesis?,Intel 8088,Motorola 68000,Yamaha YM2612,Zilog Z80,Motorola 68000,medium
"Which slogan did the fast food company, McDonalds, use before their Im Lovin It slogan?",Have It Your Way,Making People Happy Through Food,We Love to See You Smile,Why Pay More!?,We Love to See You Smile,medium
What number does the Roman numeral D stand for?,100,1000,50,500,500,medium
What is Canadas largest island?,Baffin Island,Newfoundland,Prince Edward Island,Vancouver Island,Baffin Island,hard
Which round does a WW2 M1 Garand fire?,.30-06,.308,7.62,7.62x51mm,.30-06,hard
When was the Siege of Leningrad lifted during World War II?,January 1944,March 1944,November 1943,September 1943,Jan-44,hard
Chartreuse is a color between yellow and what?,Black,Green,Purple,Red,Green,hard
"Located in Chile, El Teniente is the worlds largest underground mine for what metal?",Copper,Iron,Nickel,Silver,Copper,hard
What major programming language does Unreal Engine 4 use?,Assembly,C#,C++,ECMAScript,C++,hard
The word aprosexia means which of the following?,A feverish desire to rip ones clothes off,The inability to concentrate on anything,The inability to make decisions,The inability to stand up,The inability to concentrate on anything,hard
Which of the following is another name for the Poecilotheria Metallica Tarantula?,Gooty,Hopper,Silver Stripe,Woebegone,Gooty,hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,hard
Which country was NOT formerly part of Yugoslavia?,Albania,Croatia,Macedonia,Serbia,Albania,hard
What is &ldquo;The Sport of Kings&rdquo;?,Chess,Fencing,Horse Racing,Jousting,Horse Racing,hard
Which of these cities does NOT have a United States Minting location?,"Philidelphia, PA","San Fransisco, CA","St. Louis, MO","West Point, NY","St. Louis, MO",hard
"When was the city of Rome, Italy founded?",524 BCE,697 BCE,753 BCE,902 BCE,753 BCE,hard
What is the capital of Mauritius?,Port Louis,Port Moresby,Port Vila,Port-au-Prince,Port Louis,hard
Which of these positions did the astronomer and physicist Isaac Newton not hold?,Member of Parliament,Professor of Mathematics,Surveyor to the City of London,Warden of the Royal Mint,Surveyor to the City of London,hard
Which data structure does FILO apply to?,Heap,Queue,Stack,Tree,Stack,hard
"Lenovo acquired IBMs personal computer division, including the ThinkPad line of laptops and tablets, in what year?",1999,2002,2005,2008,2005,hard
Which restaurants mascot is a clown?,Burger King,McDonalds,Sonic,Whataburger,McDonalds,easy
The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,"Poland, Iceland, Italy, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Portugal, Ireland, Italy, Greece, Spain","Portugal, Ireland, Italy, Greece, Spain",easy
The Ottoman Empire was dissolved after their loss in which war?,Crimean War,Second Balkan War,Serbian Revolution,World War I,World War I,easy
"On Twitter, what was the original character limit for a Tweet?",100,120,140,160,140,easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,easy
Which ocean borders the west coast of the United States?,Arctic,Atlantic,Indian,Pacific,Pacific,easy
What do you call a baby bat?,Chick,Cub,Kid,Pup,Pup,easy
Which of the following Japanese islands is the biggest?,Hokkaido,Honshu,Kyushu,Shikoku,Honshu,easy
Which country hosted the 2018 FIFA World Cup?,Germany,Russia,Saudi Arabia,United States,Russia,easy
"If you are caught Goldbricking, what are you doing wrong?",Cheating,Slacking,Smoking,Stealing,Slacking,easy
"Which player holds the NHL record of 2,857 points?",Gordie Howe,Mario Lemieux ,Sidney Crosby,Wayne Gretzky,Wayne Gretzky,easy
Which nation claims ownership of Antarctica?,Australia,"No one, but there are claims.",United Nations,United States of America,"No one, but there are claims.",easy
Which gaming console is developed by Sony?,Atari,Nintendo Switch,PlayStation,Xbox,PlayStation,easy
What is the capital of South Korea?,Kitakyushu,Pyongyang,Seoul,Taegu,Seoul,easy
What is the capital of the American state of Arizona?,Montgomery,Phoenix,Raleigh,Tallahassee,Phoenix,easy
Which Russian oblast forms a border with Poland?,Kaliningrad,Nizhny Novgorod,Omsk,Samara,Kaliningrad,easy
"What is the name of the popular animatronic singing fish prop, singing such hits such as Dont Worry, Be Happy?",Big Billy Bass,Big Mouth Billy Bass,Sardeen,Singing Fish,Big Mouth Billy Bass,medium
"According to Japanese folklore, what is the favorite food of the Kappa.",Cucumbers,Kabocha,Nasu,Soba,Cucumbers,medium
What direction does the Statue of Liberty face?,Northeast,Northwest,Southeast,Southwest,Southeast,medium
Which of the following is not in the Indo-European language family?,English,Finnish,Hindi,Russian,Finnish,medium
How many countries share a land border with Luxembourg?,2,3,4,5,3,medium
The seed drill was invented by which British inventor?,Charles Babbage,Isaac Newton,J.J Thomson,Jethro Tull,Jethro Tull,medium
Which of these programming languages is a low-level language?,Assembly,C#,Pascal,Python,Assembly,medium
Neptunes greek name was...,Apollo,Ares,Poseidon,Zeus,Poseidon,medium
"In a standard set of playing cards, which is the only king without a moustache?",Clubs,Diamonds,Hearts,Spades,Hearts,medium
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra,medium
Hera is god of...,Agriculture,Marriage,Sea,War,Marriage,medium
What is a dakimakura?,"A Chinese meal, essentially composed of fish",A body pillow,A word used to describe two people who truly love each other,A yoga posture,A body pillow,medium
Which of these is NOT an island that is part of the Philippines?,Java,Luzon,Mindanao,Palawan,Java,medium
In the server hosting industry IaaS stands for...,Infrastructure as a Server,Infrastructure as a Service,Internet and a Server,Internet as a Service,Infrastructure as a Service,medium
"In the 2016 Global Peace Index poll, out of 163 countries, what was the United States of America ranked?",10,103,59,79,103,medium
Which iconic Disneyland attraction was closed in 2017 to be remodeled as a Guardians of the Galaxy themed ride?,Peter Pans Flight,Pirates of the Caribbean,The Haunted Mansion,Twilight Zone Tower of Terror,Twilight Zone Tower of Terror,medium
Joseph Stalin had a criminal past doing what?,Identity Fraud,Murder for Hire,Robbing Trains,Tax Evasion,Robbing Trains,medium
The website Shut Up &amp; Sit Down reviews which form of media?,Board Games,Films,Television Shows,Video Games,Board Games,medium
What is the name of the Boeing B-29 that dropped the Little Boy atomic bomb on Hiroshima?,Enola Gay,Full House,Necessary Evil,The Great Artiste,Enola Gay,hard
What is the most commonly used noun in the English language?,Home,Man,Time,Water,Time,hard
What vulnerability ranked #1 on the OWASP Top 10 in 2013?,Broken Authentication,Cross-Site Scripting,Injection ,Insecure Direct Object References,Injection ,hard
Which country is completely landlocked by South Africa?,Botswana,Lesotho,Swaziland,Zimbabwe,Lesotho,hard
What does the International System of Quantities refer 1024 bytes as?,Kelobyte,Kibibyte,Kilobyte,Kylobyte,Kibibyte,hard
"What national museum will you find in Cooperstown, New York?",Metropolitan Museum of Art,Museum of Modern Art,National Baseball Hall of Fame,National Toy Hall of Fame,National Baseball Hall of Fame,hard
The ancient city of Chich&eacute;n Itz was built by which civilization?,Aztecs,Incas,Mayans,Toltecs,Mayans,hard
Which Norse God has a horse named Sleipnir?,Balder,Frigg,Odin,Thor,Odin,hard
Which of these is a colony of polyps and not a jellyfish?,Irukandji,Portuguese Man-of-War,Sea Nettle,Sea Wasp,Portuguese Man-of-War,hard
What type of creature is a Bonobo?,Ape,Lion,Parrot,Wildcat,Ape,hard
What was the punishment for Sysiphuss craftiness?,Cursed to roll a boulder up a hill for eternity.,Standing in a lake filled with water he could not drink.,"Tied to a boulder for eternity, being pecked by birds.",To fell a tree that regenerated after every axe swing.,Cursed to roll a boulder up a hill for eternity.,hard
Which of the following is used to measure blood pressure?,Barometer,Haemoerythrometer,Ruler,Sphygmomanometer,Sphygmomanometer,hard
"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",Aristaeus,Autonoe,Carme,Cephisso,Aristaeus,hard
Which film star has his statue in Leicester Square?,Alfred Hitchcock,Charlie Chaplin,Paul Newman,Rowan Atkinson ,Charlie Chaplin,hard
Which English king was married to Eleanor of Aquitaine?,Henry I,Henry II,Henry V,Richard I,Henry II,hard
How many countries does Mexico border?,1,2,3,4,3,easy
What zodiac sign is represented by a pair of scales?,Aries,Capricorn,Libra,Sagittarius,Libra,easy
Which one of these tanks was designed and operated by the United Kingdom?,M4 Sherman,T-34,Tiger H1,Tog II,Tog II,easy
These two countries held a commonwealth from the 16th to 18th century.,Bangladesh and Bhutan,Hutu and Rwanda,North Korea and South Korea,Poland and Lithuania,Poland and Lithuania,easy
Which two teams played in Super Bowl XLII?,The Green Bay Packers &amp; The Pittsburgh Steelers,The New York Giants &amp; The New England Patriots,The Philadelphia Eagles &amp; The New England Patriots,The Seattle Seahawks &amp; The Denver Broncos,The New York Giants &amp; The New England Patriots,easy
"When someone is cowardly, they are said to have what color belly?",Blue,Green,Red,Yellow,Yellow,easy
"In 1939, Britain and France declared war on Germany after it invaded which country?",Austria,Czechoslovakia,Hungary,Poland,Poland,easy
What nuts are used in the production of marzipan?,Almonds,Peanuts,Pistachios,Walnuts,Almonds,easy
The ancient Roman god of war was commonly known as which of the following?,Ares,Juno,Jupiter,Mars,Mars,easy
"In bowling, what is the term used for getting three consecutive strikes?",Birdie,Eagle,Flamingo,Turkey,Turkey,easy
Which of the following is not a type of computer mouse?,Drum mouse,Optical mouse,Smoothie mouse,Trackball mouse,Smoothie mouse,easy
How would one say goodbye in Spanish?, Hola,Adi&oacute;s,Au Revoir,Salir,Adi&oacute;s,easy
Which country was Josef Stalin born in?,Georgia,Germany,Poland,Russia,Georgia,easy
What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,0 - 1,16 - 0,3 - 4,7 - 1,07-Jan,easy
King Henry VIII was the second monarch of which European royal house?,Lancaster,Stuart,Tudor,York,Tudor,easy
What is the Capital of the United States?,"Houston, TX","Los Angelas, CA","New York City, NY","Washington, D.C.","Washington, D.C.",easy
In what year was McDonalds founded?,1947,1951,1955,1964,1955,medium
What is the currency of Poland?,Euro,Krone,Ruble,Złoty,Złoty,medium
Which of the following Grand Slam tennis tournaments occurs LAST?,Australian Open,French Open,US Open,Wimbledon,US Open,medium
Which Formula 1 driver switched teams in the middle of the 2017 season?,Carlos Sainz Jr.,Daniil Kvyat,Jolyon Palmer,Rio Haryanto,Carlos Sainz Jr.,medium
What was the soft drink Pepsi originally introduced as?,Brads Drink,Carolina Cola,Pepsin Pop,Pepsin Syrup,Brads Drink,medium
Which Louis was known as The Sun King of France?,Louis XIII,Louis XIV,Louis XV,Louis XVI,Louis XIV,medium
Which Canadian province has Charlottetown as its capital?,Northwest Terrirories,Ontario,Prince Edward Island,Saskachewan,Prince Edward Island,medium
Which essential condiment is also known as Japanese horseradish?,Karashi,Mentsuyu,Ponzu,Wasabi ,Wasabi ,medium
Under which name was Rodrigo Borgia made Pope?,Alexander VI,John Paul II,Pius VII,Rodrigo I,Alexander VI,medium
A stimpmeter measures the speed of a ball over what surface?, Football Pitch,Cricket Outfield,Golf Putting Green,Pinball Table,Golf Putting Green,medium
Which city is the capital of Switzerland?,Bern,Frankfurt,Wien,Z&uuml;rich,Bern,medium
What is the unit of currency in Laos?,Dollar,Kip,Konra,Ruble,Kip,medium
"In relation to the British Occupation in Ireland, what does the IRA stand for.",Irish Rebel Alliance,Irish Reformation Army,Irish Republican Army,Irish-Royal Alliance,Irish Republican Army,medium
"What happened on June 6, 1944?",Atomic bombings of Hiroshima and Nagasaki,Attack on Pearl Harbor,D-Day,The Liberation of Paris,D-Day,medium
"What is the capital of British Columbia, Canada?",Hope,Kelowna,Vancouver,Victoria,Victoria,medium
When did the Battle of the Bulge end?,"August 6, 1945","December 16, 1944","December 7, 1941","January 25, 1945","January 25, 1945",medium
Which of these countries was NOT a part of the Soviet Union?,Afghanistan,Kazakhstan,Turkmenistan,Uzbekistan,Afghanistan,medium
"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input,Common Language Interface,Control Line Interface,Command Line Interface,medium
"When did the United States formally declare war on Japan, entering World War II?","December 8, 1941","June 22, 1941","June 6, 1944","September 1, 1939","December 8, 1941",medium
What city is known as the Rose Capital of the World?,"Anaheim, California","Miami, Florida","San Diego, California","Tyler, Texas","Tyler, Texas",hard
Bohdan Khmelnytsky was which of the following?,General Secretary of the Communist Party of the USSR,Grand Prince of Novgorod,Leader of the Ukrainian Cossacks,Prince of Wallachia,Leader of the Ukrainian Cossacks,hard
"What does the Latin phrase Veni, vidi, vici translate into English?","I came, I saw, I conquered","Life, liberty, and happiness","Past, present, and future","See no evil, hear no evil, speak no evil","I came, I saw, I conquered",hard
"If you planted the seeds of Quercus robur, what would grow?",Flowers,Grains,Trees,Vegetables,Trees,hard
Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Cubism,Impressionism,Neoplasticism,Precisionism,Neoplasticism,hard
Which of the following is an existing family in The Sims?,The Family,The Goth Family,The Proud Family,The Simoleon Family,The Goth Family,hard
Albrecht D&uuml;rers birthplace and place of death were in...,Augsburg,Bamberg,Berlin,N&uuml;rnberg,N&uuml;rnberg,hard
Which country is completely landlocked by South Africa?,Botswana,Lesotho,Swaziland,Zimbabwe,Lesotho,hard
The word astasia means which of the following?,A feverish desire to rip ones clothes off,The inability to concentrate on anything,The inability to make decisions,The inability to stand up,The inability to stand up,hard
List the following Iranic empires in chronological order:,"Achaemenid, Median, Parthian, Sassanid","Achaemenid, Median, Sassanid, Parthian","Median, Achaemenid, Parthian, Sassanid","Median, Achaemenid, Sassanid, Parthian","Median, Achaemenid, Parthian, Sassanid",hard
The ontological argument for the proof of Gods existence is first attributed to whom?,Anselm of Canterbury,Aristotle,Immanuel Kant,Ren&eacute; Descartes,Anselm of Canterbury,hard
How many notes are there on a standard grand piano?,108,78,88,98,88,hard
How many women joined the United States Armed Services during World War II?,"100,000","225,000","350,000","500,000","3,50,000",hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,hard
What year was the Mona Lisa finished?,1487,1504,1511,1523,1504,hard
"In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?",Bragi,Nidhogg,Odin,Ymir,Nidhogg,hard
Which city is the capital of the United States of America?,Albany,Los Angeles,Seattle,Washington D.C,Washington D.C,easy
Who was the first American in space?,Alan Shephard,Jim Lovell,John Glenn,Neil Armstrong,Alan Shephard,easy
Who rode on horseback to warn the Minutemen that the British were coming during the U.S. Revolutionary War?,Henry Longfellow,Nathan Hale,Paul Revere,Thomas Paine,Paul Revere,easy
"In the programming language Java, which of these keywords would you put on a variable to make sure it doesnt get modified?",Final,Private,Public,Static,Final,easy
When someone is inexperienced they are said to be what color?,Blue,Green,Red,Yellow,Green,easy
What is dabbing?,A dance,A language,A medical procedure,A sport,A dance,easy
Five dollars is worth how many nickles?,100,25,50,69,100,easy
Which Russian oblast forms a border with Poland?,Kaliningrad,Nizhny Novgorod,Omsk,Samara,Kaliningrad,easy
What does the Prt Sc button do?,Captures whats on the screen and copies it to your clipboard,Closes all windows,Nothing,Saves a .png file of whats on the screen in your screenshots folder in photos,Captures whats on the screen and copies it to your clipboard,easy
What was the first sport to have been played on the moon?,Football,Golf,Soccer,Tennis,Golf,easy
Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?,Daedalus,Hercules,Orpheus,Perseus,Orpheus,easy
"The computer OEM manufacturer Clevo, known for its Sager notebook line, is based in which country?",China (Peoples Republic of),Germany,Taiwan,United States,Taiwan,medium
What disease crippled President Franklin D. Roosevelt and led him to help the nation find a cure? ,Cancer,HIV,Meningitis,Polio,Polio,medium
Which of the following is not a megadiverse country - one that harbors a high number of the earths endemic species?,Mexico,Peru,South Africa,Thailand,Thailand,medium
Which basketball team has attended the most NBA grand finals?,Boston Celtics,Golden State Warriors,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,medium
Which of these are the name of a famous marker brand?,Cofix,Copic,Dopix,Marx,Copic,medium
Who was the leader of the Communist Party of Yugoslavia ?,Aleskandar Petrovic,Josip Broz Tito,Karadjordje Petrovic,Milos Obilic,Josip Broz Tito,medium
Mobile hardware and software company Blackberry Limited was founded in which country?,Canada,Norway,United Kingdom,United States of America,Canada,medium
What is the star sign of someone born on Valentines day?,Aquarius,Capricorn,Pisces,Scorpio,Aquarius,medium
What mountain range lines the border between Spain and France?,Alps,Carpathians,Pyrenees,Urals,Pyrenees,medium
What was the most populous city in the Americas in 2015?,Los Angeles,Mexico City,New York,S&atilde;o Paulo,S&atilde;o Paulo,medium
"Which country did Kabaddi, a contact sport involving tackling, originate from?",Australia,Cambodia,India,Turkey,India,medium
Which one of these countries borders with Poland?,France,Lithuania,Netherlands,Norway,Lithuania,medium
Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?,Columbia University,Harvard University,Princeton University,Yale University,Yale University,medium
What is the official national language of Pakistan?,Indian,Pashto,Punjabi,Urdu,Urdu,medium
In which years did the Battle of Gallipoli take place?,1914 - 1915,1914 - 1918,1915 - 1916,1915 - 1918,1915 - 1916,medium
What is the scientific name of the Budgerigar?,Ara macao,Melopsittacus undulatus,Nymphicus hollandicus,Pyrrhura molinae,Melopsittacus undulatus,hard
Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Cubism,Impressionism,Neoplasticism,Precisionism,Neoplasticism,hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,hard
Bohdan Khmelnytsky was which of the following?,General Secretary of the Communist Party of the USSR,Grand Prince of Novgorod,Leader of the Ukrainian Cossacks,Prince of Wallachia,Leader of the Ukrainian Cossacks,hard
