question,option1,option2,option3,option4,correctAnswer,difficulty
When was the Siege of Leningrad lifted during World War II?,January 1944,March 1944,November 1943,September 1943,Jan-44,Hard
When did the French Revolution begin?,1756,1789,1799,1823,1789,Hard
Which of the following chemicals are found in eggplant seeds?,Cyanide,Mescaline,Nicotine,Psilocybin,Nicotine,Hard
"Named after the mallow flower, mauve is a shade of what?",Brown,Pink,Purple,Red,Purple,Hard
What immense structure is referred to in Norse Mythology as the Yggdrasil.,Castle,Mountain,Temple,Tree,Tree,Hard
What is the area of Vatican City?,0.10km^2,0.44km^2,0.86km^2,12.00km^2,0.44km^2,Hard
"Who is the creator of the soft drink, Dr. Pepper?",Boris Heviltik,Charles Alderton,James Wellington,Johnson Hinsin,Charles Alderton,Hard
What North American tourist attraction is served by the Maid of the Mist tour company?,Disney World,Niagara Falls,"Whistler, British Columbia",Yosemite National Park,Niagara Falls,Hard
Which of these animals is NOT a lizard?,Gila Monster,Green Iguana,Komodo Dragon,Tuatara,Tuatara,Hard
How many paint and pastel versions of The Scream is Norwegian painter Edvard Munch believed to have produced?,1,2,3,4,4,Hard
"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,Papal State,Popular Front,Republican Spain,Nationalist Spain,Hard
How many sonatas did Ludwig van Beethoven write?,21,31,32,50,32,Hard
The Swedish word Grunka means what in English?,People,Pineapple,Place,Thing,Thing,Hard
"If you planted the seeds of Quercus robur, what would grow?",Flowers,Grains,Trees,Vegetables,Trees,Hard
Which of the following is not a type of computer mouse?,Drum mouse,Optical mouse,Smoothie mouse,Trackball mouse,Smoothie mouse,Easy
"In any programming language, what is the most common way to iterate through an array?",Do-while loops,For loops,If Statements,While loops,For loops,Easy
"When one is envious, they are said to be what color?",Blue,Green,Red,Yellow,Green,Easy
What is the official language of Costa Rica?,Creole,English,Portuguese,Spanish,Spanish,Easy
What is the capital of Scotland?,Dundee,Edinburgh,Glasgow,London,Edinburgh,Easy
"In 1453, which important city fell?",Athens,Constantinople,Hamburg,Rome,Constantinople,Easy
In DC comics where does the Green Arrow (Oliver Queen) live?,Central City,Gotham City,Metropolis,Star City,Star City,Easy
What country has a horizontal bicolor red and white flag?,Bahrain,Liechenstein,Malta,Monaco,Monaco,Easy
How many stars are featured on New Zealands flag?,0,2,4,5,4,Easy
Which US state has the highest population?,California,Florida,New York,Texas,California,Easy
The C programming language was created by this American computer scientist. ,Dennis Ritchie,Tim Berners Lee,Willis Ware,al-Khwārizmī,Dennis Ritchie,Easy
Who was the first president of the United States?,George Washington,James K. Polk,James Madison,Thomas Jefferson,George Washington,Easy
The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,"Poland, Iceland, Italy, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Portugal, Ireland, Italy, Greece, Spain","Portugal, Ireland, Italy, Greece, Spain",Easy
Which of the following sports is not part of the triathlon?,Cycling,Horse-Riding,Running,Swimming,Horse-Riding,Easy
What is the romanized Russian word for winter?,Leto,Osen,Vesna,Zima,Zima,Medium
What is the oldest team in the NFL?,Arizona Cardinals,Chicago Bears,Green Bay Packers,New York Giants,Arizona Cardinals,Medium
"What was the name of one of the surviving palaces of Henry VIII located near Richmond, London?",Buckingham Palace,Coughton Court,Hampton Court,St Jamess Palace,Hampton Court,Medium
How many cores does the Intel i7-6950X have?,10,12,4,8,10,Medium
What is the nickname of Northampton towns rugby union club?,Harlequins,Saints,Saracens,Wasps,Saints,Medium
Who is the founder of The Lego Group?, Gerhardt Kirk Christiansen, Jens Niels Christiansen,Kirstine Christiansen,Ole Kirk Christiansen,Ole Kirk Christiansen,Medium
How many sovereign states are members of the United Nations?,153,178,195,201,195,Medium
The following Spanish provinces are located in the northern area of Spain except:,Asturias,Le&oacute;n,Murcia,Navarre,Murcia,Medium
Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,One Detroit Center,Taipei 101,Westendstrasse 1,Niagara Mohawk Building,Medium
Which of these countries is not a United Nations member state?,Montenegro,Niue,South Sudan,Tuvalu,Niue,Medium
A doctor with a PhD is a doctor of what?,Philosophy,Phrenology,Physical Therapy,Psychology,Philosophy,Medium
Which German city is located on the River Isar?,Berlin,Dortmund,Hamburg,Munich,Munich,Medium
"After his loss at the Battle of Waterloo, Napoleon Bonaparte was exiled to which island?",Canary,Corsica,Elba,St. Helena,St. Helena,Medium
How many timezones does Russia have?,11,16,24,6,11,Medium
What type of animal is a natterjack?,Bird,Fish,Insect,Toad,Toad,Medium
"In relation to the British Occupation in Ireland, what does the IRA stand for.",Irish Rebel Alliance,Irish Reformation Army,Irish Republican Army,Irish-Royal Alliance,Irish Republican Army,Medium
Which soccer team won the Copa Am&eacute;rica 2015 Championship ?,Argentina,Brazil,Chile,Paraguay,Chile,Medium
"In the programming language Python, which of these statements would display the string Hello World correctly?",console.log(Hello World),echo Hello World,print(Hello World),printf(Hello World),print(Hello World),Medium
"What is the most significant side venture the popular firearms company, Remington, has pursued?",Blenders,Ceiling Fans,Door Knobs,Typewriters,Typewriters,Medium
A minotaur is half human half what?,Bull,Cow,Eagle,Horse,Bull,Medium
What is the full name of the footballer Cristiano Ronaldo?,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Ronaldo dos Santos Aveiro,Hard
Albrecht D&uuml;rers birthplace and place of death were in...,Augsburg,Bamberg,Berlin,N&uuml;rnberg,N&uuml;rnberg,Hard
Dutch computer scientist Mark Overmars is known for creating which game development engine?,Construct,Game Maker,Stencyl,Torque 2D,Game Maker,Hard
Pianist Fr&eacute;d&eacute;ric Chopin was a composer of which musical era?,Baroque,Classic,Renaissance,Romantic,Romantic,Hard
"According to Fair Works Australia, how long do you have to work to get Long Service Leave?",2 years,6 months,7 years,8 years,7 years,Hard
Which of these banks are NOT authorized to issue currency notes in Hong Kong?,Bank of China,HSBC,OCBC,Standard Chartered,OCBC,Hard
Who is the founder of Palantir?,Jack Dorsey,Marc Benioff,Mark Zuckerberg,Peter Thiel,Peter Thiel,Hard
"In addition to his career as an astrologer and prophet, Nostradamus published a 1555 treatise that included a section on what?",Cheating at card games,Digging graves,Making jams and jellies,Teaching parrots to talk,Making jams and jellies,Hard
In 2012 the German-speaking microstate Liechtenstein in Central Europe had a population of how many inhabitants?,"2,400","323,400","36,600","90,000","36,600",Hard
Who is the Egyptian god of reproduction and lettuce?,Menu,Meret,Min,Mut,Min,Hard
What is the capital of Mauritius?,Port Louis,Port Moresby,Port Vila,Port-au-Prince,Port Louis,Hard
The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,Fiji,Marshall Islands,Micronesia,Tuvalu,Micronesia,Hard
"To which biological phylum do all mammals, birds and reptiles belong?",Annelida,Chordata,Echinodermata,Placazoa,Chordata,Hard
Which of these theoretical phycisists first predicted the existence of antimatter?,Albert Einstein,Niels Bohr,Paul Dirac,Werner Heisenberg,Paul Dirac,Hard
"From 1940 to 1942, what was the capital-in-exile of Free France ?",Algiers,Brazzaville,Paris,Tunis,Brazzaville,Hard
Spain was formed in 1469 with the marriage of Isabella I of Castile and Ferdinand II of what other Iberian kingdom?,Aragon,Galicia,Le&oacute;n,Navarre,Aragon,Hard
Which musician has collaborated with American producer Porter Robinson and released the 2016 song Shelter?,Madeon,Mat Zo,Zedd,deadmau5,Madeon,Hard
Who assassinated President James A. Garfield?,Charles Guiteau,John Wilkes Booth,Leon Czolgosz,Sirhan Sirhan,Charles Guiteau,Hard
"During World War I, which nations monarchs were blood related?","England, Germany, Russia","France, Russia, Germany","Germany, Spain, Austria","Serbia, Russia, Croatia","England, Germany, Russia",Hard
What port does HTTP run on?,23,443,53,80,80,Hard
"According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?",13%,20%,28%,7%,28%,Hard
Nidhogg is a mythical creature from what mythology?,Egyptian,Greek,Hindu,Norse,Norse,Hard
What mythology did the god Apollo come from?,Greek and Chinese,Greek and Roman,"Greek, Roman and Norse",Roman and Spanish,Greek and Roman,Easy
How many furlongs are there in a mile?,Eight,Four,Six,Two,Eight,Easy
"In 1453, which important city fell?",Athens,Constantinople,Hamburg,Rome,Constantinople,Easy
Who is the youngest person to recieve a Nobel Prize?,Lawrence Bragg,Malala Yousafzai,Werner Heisenberg,Yasser Arafat,Malala Yousafzai,Easy
"Which Greek &amp; Roman god was known as the god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more?",Aphrodite,Apollo,Artemis,Athena,Apollo,Easy
Which programming language shares its name with an island in Indonesia?,C,Jakarta,Java,Python,Java,Easy
Which two teams played in Super Bowl XLII?,The Green Bay Packers &amp; The Pittsburgh Steelers,The New York Giants &amp; The New England Patriots,The Philadelphia Eagles &amp; The New England Patriots,The Seattle Seahawks &amp; The Denver Broncos,The New York Giants &amp; The New England Patriots,Easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,Easy
How many time zones does China have?,1,2,3,4,1,Easy
How many federal states does Germany have?,13,16,25,32,16,Easy
Which of the following African countries was most successful in resisting colonization?,C&ocirc;te d&rsquo;Ivoire,Congo,Ethiopia,Namibia,Ethiopia,Easy
The collapse of the Soviet Union took place in which year?,1891,1990,1991,1992,1991,Easy
Which of the following European languages is classified as a language isolate?,Basque,Galician,Hungarian,Maltese,Basque,Easy
Which Nation DID NOT have a Colony in Modern-day America?,Netherlands,Portugal,Spain,Sweden,Portugal,Medium
Where did the pineapple plant originate?,Asia,Europe,Hawaii,South America,South America,Medium
Which coding language was the #1 programming language in terms of usage on GitHub in 2015?,C#,JavaScript,PHP,Python,JavaScript,Medium
Which of these countries national teams qualified for the 2018 FIFA World Cup in Russia?,Italy,Netherlands,Tunisia,United States of America,Tunisia,Medium
"The Maori hold that which island nation was founded by Kupe, who discovered it under a long white cloud?",Fiji,Hawaii,New Zealand,Vanuatu,New Zealand,Medium
In which English county is Stonehenge?,Cumbria,Herefordshire,Somerset,Wiltshire,Wiltshire,Medium
Which Louis was known as The Sun King of France?,Louis XIII,Louis XIV,Louis XV,Louis XVI,Louis XIV,Medium
In which years did the Battle of Gallipoli take place?,1914 - 1915,1914 - 1918,1915 - 1916,1915 - 1918,1915 - 1916,Medium
What is the smallest country in South America by area?,Brazil,Chile,Suriname,Uruguay,Suriname,Medium
Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?,Brazil,India,Madagascar,Mozambique,Brazil,Medium
"In 1845, a series of wars named after which indigenous people began in New Zealand?",Aborigines,Māori,Papuans,Polynesians,Māori,Medium
What year was Apple Inc. founded?,1974,1976,1978,1980,1976,Medium
What is the main CPU is the Sega Mega Drive / Sega Genesis?,Intel 8088,Motorola 68000,Yamaha YM2612,Zilog Z80,Motorola 68000,Medium
"Which slogan did the fast food company, McDonalds, use before their Im Lovin It slogan?",Have It Your Way,Making People Happy Through Food,We Love to See You Smile,Why Pay More!?,We Love to See You Smile,Medium
What number does the Roman numeral D stand for?,100,1000,50,500,500,Medium
What is Canadas largest island?,Baffin Island,Newfoundland,Prince Edward Island,Vancouver Island,Baffin Island,Hard
Which round does a WW2 M1 Garand fire?,.30-06,.308,7.62,7.62x51mm,.30-06,Hard
When was the Siege of Leningrad lifted during World War II?,January 1944,March 1944,November 1943,September 1943,Jan-44,Hard
Chartreuse is a color between yellow and what?,Black,Green,Purple,Red,Green,Hard
"Located in Chile, El Teniente is the worlds largest underground mine for what metal?",Copper,Iron,Nickel,Silver,Copper,Hard
What major programming language does Unreal Engine 4 use?,Assembly,C#,C++,ECMAScript,C++,Hard
The word aprosexia means which of the following?,A feverish desire to rip ones clothes off,The inability to concentrate on anything,The inability to make decisions,The inability to stand up,The inability to concentrate on anything,Hard
Which of the following is another name for the Poecilotheria Metallica Tarantula?,Gooty,Hopper,Silver Stripe,Woebegone,Gooty,Hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,Hard
Which country was NOT formerly part of Yugoslavia?,Albania,Croatia,Macedonia,Serbia,Albania,Hard
What is &ldquo;The Sport of Kings&rdquo;?,Chess,Fencing,Horse Racing,Jousting,Horse Racing,Hard
Which of these cities does NOT have a United States Minting location?,"Philidelphia, PA","San Fransisco, CA","St. Louis, MO","West Point, NY","St. Louis, MO",Hard
"When was the city of Rome, Italy founded?",524 BCE,697 BCE,753 BCE,902 BCE,753 BCE,Hard
What is the capital of Mauritius?,Port Louis,Port Moresby,Port Vila,Port-au-Prince,Port Louis,Hard
Which of these positions did the astronomer and physicist Isaac Newton not hold?,Member of Parliament,Professor of Mathematics,Surveyor to the City of London,Warden of the Royal Mint,Surveyor to the City of London,Hard
Which data structure does FILO apply to?,Heap,Queue,Stack,Tree,Stack,Hard
"Lenovo acquired IBMs personal computer division, including the ThinkPad line of laptops and tablets, in what year?",1999,2002,2005,2008,2005,Hard
Which restaurants mascot is a clown?,Burger King,McDonalds,Sonic,Whataburger,McDonalds,Easy
The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,"Poland, Iceland, Italy, Greece, Serbia","Poland, Iceland, Italy, Greenland, Spain","Portugal, Iceland, Ireland, Greece, Serbia","Portugal, Ireland, Italy, Greece, Spain","Portugal, Ireland, Italy, Greece, Spain",Easy
The Ottoman Empire was dissolved after their loss in which war?,Crimean War,Second Balkan War,Serbian Revolution,World War I,World War I,Easy
"On Twitter, what was the original character limit for a Tweet?",100,120,140,160,140,Easy
This Greek goddesss name was chosen for the dwarf planet responsible for discord on Plutos classification amongst astronomers.,Ceres,Charon,Dysnomia,Eris,Eris,Easy
Which ocean borders the west coast of the United States?,Arctic,Atlantic,Indian,Pacific,Pacific,Easy
What do you call a baby bat?,Chick,Cub,Kid,Pup,Pup,Easy
Which of the following Japanese islands is the biggest?,Hokkaido,Honshu,Kyushu,Shikoku,Honshu,Easy
Which country hosted the 2018 FIFA World Cup?,Germany,Russia,Saudi Arabia,United States,Russia,Easy
"If you are caught Goldbricking, what are you doing wrong?",Cheating,Slacking,Smoking,Stealing,Slacking,Easy
"Which player holds the NHL record of 2,857 points?",Gordie Howe,Mario Lemieux ,Sidney Crosby,Wayne Gretzky,Wayne Gretzky,Easy
Which nation claims ownership of Antarctica?,Australia,"No one, but there are claims.",United Nations,United States of America,"No one, but there are claims.",Easy
Which gaming console is developed by Sony?,Atari,Nintendo Switch,PlayStation,Xbox,PlayStation,Easy
What is the capital of South Korea?,Kitakyushu,Pyongyang,Seoul,Taegu,Seoul,Easy
What is the capital of the American state of Arizona?,Montgomery,Phoenix,Raleigh,Tallahassee,Phoenix,Easy
Which Russian oblast forms a border with Poland?,Kaliningrad,Nizhny Novgorod,Omsk,Samara,Kaliningrad,Easy
"What is the name of the popular animatronic singing fish prop, singing such hits such as Dont Worry, Be Happy?",Big Billy Bass,Big Mouth Billy Bass,Sardeen,Singing Fish,Big Mouth Billy Bass,Medium
"According to Japanese folklore, what is the favorite food of the Kappa.",Cucumbers,Kabocha,Nasu,Soba,Cucumbers,Medium
What direction does the Statue of Liberty face?,Northeast,Northwest,Southeast,Southwest,Southeast,Medium
Which of the following is not in the Indo-European language family?,English,Finnish,Hindi,Russian,Finnish,Medium
How many countries share a land border with Luxembourg?,2,3,4,5,3,Medium
The seed drill was invented by which British inventor?,Charles Babbage,Isaac Newton,J.J Thomson,Jethro Tull,Jethro Tull,Medium
Which of these programming languages is a low-level language?,Assembly,C#,Pascal,Python,Assembly,Medium
Neptunes greek name was...,Apollo,Ares,Poseidon,Zeus,Poseidon,Medium
"In a standard set of playing cards, which is the only king without a moustache?",Clubs,Diamonds,Hearts,Spades,Hearts,Medium
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra,Medium
Hera is god of...,Agriculture,Marriage,Sea,War,Marriage,Medium
What is a dakimakura?,"A Chinese meal, essentially composed of fish",A body pillow,A word used to describe two people who truly love each other,A yoga posture,A body pillow,Medium
Which of these is NOT an island that is part of the Philippines?,Java,Luzon,Mindanao,Palawan,Java,Medium
In the server hosting industry IaaS stands for...,Infrastructure as a Server,Infrastructure as a Service,Internet and a Server,Internet as a Service,Infrastructure as a Service,Medium
"In the 2016 Global Peace Index poll, out of 163 countries, what was the United States of America ranked?",10,103,59,79,103,Medium
Which iconic Disneyland attraction was closed in 2017 to be remodeled as a Guardians of the Galaxy themed ride?,Peter Pans Flight,Pirates of the Caribbean,The Haunted Mansion,Twilight Zone Tower of Terror,Twilight Zone Tower of Terror,Medium
Joseph Stalin had a criminal past doing what?,Identity Fraud,Murder for Hire,Robbing Trains,Tax Evasion,Robbing Trains,Medium
The website Shut Up &amp; Sit Down reviews which form of media?,Board Games,Films,Television Shows,Video Games,Board Games,Medium
What is the name of the Boeing B-29 that dropped the Little Boy atomic bomb on Hiroshima?,Enola Gay,Full House,Necessary Evil,The Great Artiste,Enola Gay,Hard
What is the most commonly used noun in the English language?,Home,Man,Time,Water,Time,Hard
What vulnerability ranked #1 on the OWASP Top 10 in 2013?,Broken Authentication,Cross-Site Scripting,Injection ,Insecure Direct Object References,Injection ,Hard
Which country is completely landlocked by South Africa?,Botswana,Lesotho,Swaziland,Zimbabwe,Lesotho,Hard
What does the International System of Quantities refer 1024 bytes as?,Kelobyte,Kibibyte,Kilobyte,Kylobyte,Kibibyte,Hard
"What national museum will you find in Cooperstown, New York?",Metropolitan Museum of Art,Museum of Modern Art,National Baseball Hall of Fame,National Toy Hall of Fame,National Baseball Hall of Fame,Hard
The ancient city of Chich&eacute;n Itz was built by which civilization?,Aztecs,Incas,Mayans,Toltecs,Mayans,Hard
Which Norse God has a horse named Sleipnir?,Balder,Frigg,Odin,Thor,Odin,Hard
Which of these is a colony of polyps and not a jellyfish?,Irukandji,Portuguese Man-of-War,Sea Nettle,Sea Wasp,Portuguese Man-of-War,Hard
What type of creature is a Bonobo?,Ape,Lion,Parrot,Wildcat,Ape,Hard
What was the punishment for Sysiphuss craftiness?,Cursed to roll a boulder up a hill for eternity.,Standing in a lake filled with water he could not drink.,"Tied to a boulder for eternity, being pecked by birds.",To fell a tree that regenerated after every axe swing.,Cursed to roll a boulder up a hill for eternity.,Hard
Which of the following is used to measure blood pressure?,Barometer,Haemoerythrometer,Ruler,Sphygmomanometer,Sphygmomanometer,Hard
"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",Aristaeus,Autonoe,Carme,Cephisso,Aristaeus,Hard
Which film star has his statue in Leicester Square?,Alfred Hitchcock,Charlie Chaplin,Paul Newman,Rowan Atkinson ,Charlie Chaplin,Hard
Which English king was married to Eleanor of Aquitaine?,Henry I,Henry II,Henry V,Richard I,Henry II,Hard
How many countries does Mexico border?,1,2,3,4,3,Easy
What zodiac sign is represented by a pair of scales?,Aries,Capricorn,Libra,Sagittarius,Libra,Easy
Which one of these tanks was designed and operated by the United Kingdom?,M4 Sherman,T-34,Tiger H1,Tog II,Tog II,Easy
These two countries held a commonwealth from the 16th to 18th century.,Bangladesh and Bhutan,Hutu and Rwanda,North Korea and South Korea,Poland and Lithuania,Poland and Lithuania,Easy
Which two teams played in Super Bowl XLII?,The Green Bay Packers &amp; The Pittsburgh Steelers,The New York Giants &amp; The New England Patriots,The Philadelphia Eagles &amp; The New England Patriots,The Seattle Seahawks &amp; The Denver Broncos,The New York Giants &amp; The New England Patriots,Easy
"When someone is cowardly, they are said to have what color belly?",Blue,Green,Red,Yellow,Yellow,Easy
"In 1939, Britain and France declared war on Germany after it invaded which country?",Austria,Czechoslovakia,Hungary,Poland,Poland,Easy
What nuts are used in the production of marzipan?,Almonds,Peanuts,Pistachios,Walnuts,Almonds,Easy
The ancient Roman god of war was commonly known as which of the following?,Ares,Juno,Jupiter,Mars,Mars,Easy
"In bowling, what is the term used for getting three consecutive strikes?",Birdie,Eagle,Flamingo,Turkey,Turkey,Easy
Which of the following is not a type of computer mouse?,Drum mouse,Optical mouse,Smoothie mouse,Trackball mouse,Smoothie mouse,Easy
How would one say goodbye in Spanish?, Hola,Adi&oacute;s,Au Revoir,Salir,Adi&oacute;s,Easy
Which country was Josef Stalin born in?,Georgia,Germany,Poland,Russia,Georgia,Easy
What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,0 - 1,16 - 0,3 - 4,7 - 1,07-Jan,Easy
King Henry VIII was the second monarch of which European royal house?,Lancaster,Stuart,Tudor,York,Tudor,Easy
What is the Capital of the United States?,"Houston, TX","Los Angelas, CA","New York City, NY","Washington, D.C.","Washington, D.C.",Easy
In what year was McDonalds founded?,1947,1951,1955,1964,1955,Medium
What is the currency of Poland?,Euro,Krone,Ruble,Złoty,Złoty,Medium
Which of the following Grand Slam tennis tournaments occurs LAST?,Australian Open,French Open,US Open,Wimbledon,US Open,Medium
Which Formula 1 driver switched teams in the middle of the 2017 season?,Carlos Sainz Jr.,Daniil Kvyat,Jolyon Palmer,Rio Haryanto,Carlos Sainz Jr.,Medium
What was the soft drink Pepsi originally introduced as?,Brads Drink,Carolina Cola,Pepsin Pop,Pepsin Syrup,Brads Drink,Medium
Which Louis was known as The Sun King of France?,Louis XIII,Louis XIV,Louis XV,Louis XVI,Louis XIV,Medium
Which Canadian province has Charlottetown as its capital?,Northwest Terrirories,Ontario,Prince Edward Island,Saskachewan,Prince Edward Island,Medium
Which essential condiment is also known as Japanese horseradish?,Karashi,Mentsuyu,Ponzu,Wasabi ,Wasabi ,Medium
Under which name was Rodrigo Borgia made Pope?,Alexander VI,John Paul II,Pius VII,Rodrigo I,Alexander VI,Medium
A stimpmeter measures the speed of a ball over what surface?, Football Pitch,Cricket Outfield,Golf Putting Green,Pinball Table,Golf Putting Green,Medium
Which city is the capital of Switzerland?,Bern,Frankfurt,Wien,Z&uuml;rich,Bern,Medium
What is the unit of currency in Laos?,Dollar,Kip,Konra,Ruble,Kip,Medium
"In relation to the British Occupation in Ireland, what does the IRA stand for.",Irish Rebel Alliance,Irish Reformation Army,Irish Republican Army,Irish-Royal Alliance,Irish Republican Army,Medium
"What happened on June 6, 1944?",Atomic bombings of Hiroshima and Nagasaki,Attack on Pearl Harbor,D-Day,The Liberation of Paris,D-Day,Medium
"What is the capital of British Columbia, Canada?",Hope,Kelowna,Vancouver,Victoria,Victoria,Medium
When did the Battle of the Bulge end?,"August 6, 1945","December 16, 1944","December 7, 1941","January 25, 1945","January 25, 1945",Medium
Which of these countries was NOT a part of the Soviet Union?,Afghanistan,Kazakhstan,Turkmenistan,Uzbekistan,Afghanistan,Medium
"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input,Common Language Interface,Control Line Interface,Command Line Interface,Medium
"When did the United States formally declare war on Japan, entering World War II?","December 8, 1941","June 22, 1941","June 6, 1944","September 1, 1939","December 8, 1941",Medium
What city is known as the Rose Capital of the World?,"Anaheim, California","Miami, Florida","San Diego, California","Tyler, Texas","Tyler, Texas",Hard
Bohdan Khmelnytsky was which of the following?,General Secretary of the Communist Party of the USSR,Grand Prince of Novgorod,Leader of the Ukrainian Cossacks,Prince of Wallachia,Leader of the Ukrainian Cossacks,Hard
"What does the Latin phrase Veni, vidi, vici translate into English?","I came, I saw, I conquered","Life, liberty, and happiness","Past, present, and future","See no evil, hear no evil, speak no evil","I came, I saw, I conquered",Hard
"If you planted the seeds of Quercus robur, what would grow?",Flowers,Grains,Trees,Vegetables,Trees,Hard
Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Cubism,Impressionism,Neoplasticism,Precisionism,Neoplasticism,Hard
Which of the following is an existing family in The Sims?,The Family,The Goth Family,The Proud Family,The Simoleon Family,The Goth Family,Hard
Albrecht D&uuml;rers birthplace and place of death were in...,Augsburg,Bamberg,Berlin,N&uuml;rnberg,N&uuml;rnberg,Hard
Which country is completely landlocked by South Africa?,Botswana,Lesotho,Swaziland,Zimbabwe,Lesotho,Hard
The word astasia means which of the following?,A feverish desire to rip ones clothes off,The inability to concentrate on anything,The inability to make decisions,The inability to stand up,The inability to stand up,Hard
List the following Iranic empires in chronological order:,"Achaemenid, Median, Parthian, Sassanid","Achaemenid, Median, Sassanid, Parthian","Median, Achaemenid, Parthian, Sassanid","Median, Achaemenid, Sassanid, Parthian","Median, Achaemenid, Parthian, Sassanid",Hard
The ontological argument for the proof of Gods existence is first attributed to whom?,Anselm of Canterbury,Aristotle,Immanuel Kant,Ren&eacute; Descartes,Anselm of Canterbury,Hard
How many notes are there on a standard grand piano?,108,78,88,98,88,Hard
How many women joined the United States Armed Services during World War II?,"100,000","225,000","350,000","500,000","3,50,000",Hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,Hard
What year was the Mona Lisa finished?,1487,1504,1511,1523,1504,Hard
"In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?",Bragi,Nidhogg,Odin,Ymir,Nidhogg,Hard
Which city is the capital of the United States of America?,Albany,Los Angeles,Seattle,Washington D.C,Washington D.C,Easy
Who was the first American in space?,Alan Shephard,Jim Lovell,John Glenn,Neil Armstrong,Alan Shephard,Easy
Who rode on horseback to warn the Minutemen that the British were coming during the U.S. Revolutionary War?,Henry Longfellow,Nathan Hale,Paul Revere,Thomas Paine,Paul Revere,Easy
"In the programming language Java, which of these keywords would you put on a variable to make sure it doesnt get modified?",Final,Private,Public,Static,Final,Easy
When someone is inexperienced they are said to be what color?,Blue,Green,Red,Yellow,Green,Easy
What is dabbing?,A dance,A language,A medical procedure,A sport,A dance,Easy
Five dollars is worth how many nickles?,100,25,50,69,100,Easy
Which Russian oblast forms a border with Poland?,Kaliningrad,Nizhny Novgorod,Omsk,Samara,Kaliningrad,Easy
What does the Prt Sc button do?,Captures whats on the screen and copies it to your clipboard,Closes all windows,Nothing,Saves a .png file of whats on the screen in your screenshots folder in photos,Captures whats on the screen and copies it to your clipboard,Easy
What was the first sport to have been played on the moon?,Football,Golf,Soccer,Tennis,Golf,Easy
Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?,Daedalus,Hercules,Orpheus,Perseus,Orpheus,Easy
"The computer OEM manufacturer Clevo, known for its Sager notebook line, is based in which country?",China (Peoples Republic of),Germany,Taiwan,United States,Taiwan,Medium
What disease crippled President Franklin D. Roosevelt and led him to help the nation find a cure? ,Cancer,HIV,Meningitis,Polio,Polio,Medium
Which of the following is not a megadiverse country - one that harbors a high number of the earths endemic species?,Mexico,Peru,South Africa,Thailand,Thailand,Medium
Which basketball team has attended the most NBA grand finals?,Boston Celtics,Golden State Warriors,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,Medium
Which of these are the name of a famous marker brand?,Cofix,Copic,Dopix,Marx,Copic,Medium
Who was the leader of the Communist Party of Yugoslavia ?,Aleskandar Petrovic,Josip Broz Tito,Karadjordje Petrovic,Milos Obilic,Josip Broz Tito,Medium
Mobile hardware and software company Blackberry Limited was founded in which country?,Canada,Norway,United Kingdom,United States of America,Canada,Medium
What is the star sign of someone born on Valentines day?,Aquarius,Capricorn,Pisces,Scorpio,Aquarius,Medium
What mountain range lines the border between Spain and France?,Alps,Carpathians,Pyrenees,Urals,Pyrenees,Medium
What was the most populous city in the Americas in 2015?,Los Angeles,Mexico City,New York,S&atilde;o Paulo,S&atilde;o Paulo,Medium
"Which country did Kabaddi, a contact sport involving tackling, originate from?",Australia,Cambodia,India,Turkey,India,Medium
Which one of these countries borders with Poland?,France,Lithuania,Netherlands,Norway,Lithuania,Medium
Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?,Columbia University,Harvard University,Princeton University,Yale University,Yale University,Medium
